user1,user2,common_friend
121,97,1
532,97,1
629,97,1
673,97,1
737,97,1
777,97,1
847,97,1
97,971,1
121,532,1
121,629,1
121,673,1
121,737,1
121,777,1
121,847,1
121,971,1
532,629,1
532,673,1
532,737,1
532,777,1
532,847,1
532,971,1
629,673,1
629,737,1
629,777,1
629,847,1
629,971,1
673,737,1
673,777,1
673,847,1
673,971,1
737,777,1
737,847,1
737,971,1
777,847,1
777,971,1
847,971,1
0,108,10
0,206,10
0,569,10
0,678,10
108,206,10
108,569,10
108,678,10
206,569,10
206,678,10
569,678,10
202,51,100
264,51,100
435,51,100
444,51,100
447,51,100
51,661,100
51,822,100
51,892,100
51,995,100
202,264,100
202,435,100
202,444,100
202,447,100
202,661,100
202,822,100
202,892,100
202,995,100
264,435,100
264,444,100
264,447,100
264,661,100
264,822,100
264,892,100
264,995,100
435,444,100
435,447,100
435,661,100
435,822,100
435,892,100
435,995,100
444,447,100
444,661,100
444,822,100
444,892,100
444,995,100
447,661,100
447,822,100
447,892,100
447,995,100
661,822,100
661,892,100
661,995,100
822,892,100
822,995,100
892,995,100
163,53,102
165,53,102
291,53,102
454,53,102
53,538,102
53,576,102
53,697,102
53,738,102
53,832,102
53,852,102
53,895,102
53,918,102
53,962,102
163,165,102
163,291,102
163,454,102
163,538,102
163,576,102
163,697,102
163,738,102
163,832,102
163,852,102
163,895,102
163,918,102
163,962,102
165,291,102
165,454,102
165,538,102
165,576,102
165,697,102
165,738,102
165,832,102
165,852,102
165,895,102
165,918,102
165,962,102
291,454,102
291,538,102
291,576,102
291,697,102
291,738,102
291,832,102
291,852,102
291,895,102
291,918,102
291,962,102
454,538,102
454,576,102
454,697,102
454,738,102
454,832,102
454,852,102
454,895,102
454,918,102
454,962,102
538,576,102
538,697,102
538,738,102
538,832,102
538,852,102
538,895,102
538,918,102
538,962,102
576,697,102
576,738,102
576,832,102
576,852,102
576,895,102
576,918,102
576,962,102
697,738,102
697,832,102
697,852,102
697,895,102
697,918,102
697,962,102
738,832,102
738,852,102
738,895,102
738,918,102
738,962,102
832,852,102
832,895,102
832,918,102
832,962,102
852,895,102
852,918,102
852,962,102
895,918,102
895,962,102
918,962,102
47,97,105
104,47,105
132,47,105
149,47,105
328,47,105
413,47,105
417,47,105
461,47,105
47,502,105
47,682,105
47,720,105
47,728,105
47,915,105
104,97,105
132,97,105
149,97,105
328,97,105
413,97,105
417,97,105
461,97,105
502,97,105
682,97,105
720,97,105
728,97,105
915,97,105
104,132,105
104,149,105
104,328,105
104,413,105
104,417,105
104,461,105
104,502,105
104,682,105
104,720,105
104,728,105
104,915,105
132,149,105
132,328,105
132,413,105
132,417,105
132,461,105
132,502,105
132,682,105
132,720,105
132,728,105
132,915,105
149,328,105
149,413,105
149,417,105
149,461,105
149,502,105
149,682,105
149,720,105
149,728,105
149,915,105
328,413,105
328,417,105
328,461,105
328,502,105
328,682,105
328,720,105
328,728,105
328,915,105
413,417,105
413,461,105
413,502,105
413,682,105
413,720,105
413,728,105
413,915,105
417,461,105
417,502,105
417,682,105
417,720,105
417,728,105
417,915,105
461,502,105
461,682,105
461,720,105
461,728,105
461,915,105
502,682,105
502,720,105
502,728,105
502,915,105
682,720,105
682,728,105
682,915,105
720,728,105
720,915,105
728,915,105
131,210,106
131,268,106
131,360,106
131,426,106
131,579,106
131,679,106
131,790,106
131,904,106
210,268,106
210,360,106
210,426,106
210,579,106
210,679,106
210,790,106
210,904,106
268,360,106
268,426,106
268,579,106
268,679,106
268,790,106
268,904,106
360,426,106
360,579,106
360,679,106
360,790,106
360,904,106
426,579,106
426,679,106
426,790,106
426,904,106
579,679,106
579,790,106
579,904,106
679,790,106
679,904,106
790,904,106
302,75,107
523,75,107
686,75,107
302,523,107
302,686,107
523,686,107
217,271,11
217,586,11
217,649,11
217,658,11
217,718,11
217,965,11
217,972,11
271,586,11
271,649,11
271,658,11
271,718,11
271,965,11
271,972,11
586,649,11
586,658,11
586,718,11
586,965,11
586,972,11
649,658,11
649,718,11
649,965,11
649,972,11
658,718,11
658,965,11
658,972,11
718,965,11
718,972,11
965,972,11
16,39,111
16,50,111
16,59,111
16,87,111
140,16,111
16,254,111
16,462,111
16,533,111
16,564,111
16,598,111
16,663,111
39,50,111
39,59,111
39,87,111
140,39,111
254,39,111
39,462,111
39,533,111
39,564,111
39,598,111
39,663,111
50,59,111
50,87,111
140,50,111
254,50,111
462,50,111
50,533,111
50,564,111
50,598,111
50,663,111
59,87,111
140,59,111
254,59,111
462,59,111
533,59,111
564,59,111
59,598,111
59,663,111
140,87,111
254,87,111
462,87,111
533,87,111
564,87,111
598,87,111
663,87,111
140,254,111
140,462,111
140,533,111
140,564,111
140,598,111
140,663,111
254,462,111
254,533,111
254,564,111
254,598,111
254,663,111
462,533,111
462,564,111
462,598,111
462,663,111
533,564,111
533,598,111
533,663,111
564,598,111
564,663,111
598,663,111
348,77,114
383,77,114
577,77,114
654,77,114
77,951,114
348,383,114
348,577,114
348,654,114
348,951,114
383,577,114
383,654,114
383,951,114
577,654,114
577,951,114
654,951,114
26,99,116
187,26,116
26,268,116
26,274,116
26,353,116
26,356,116
26,489,116
26,493,116
26,538,116
26,648,116
26,702,116
26,723,116
26,803,116
26,934,116
26,954,116
26,967,116
187,99,116
268,99,116
274,99,116
353,99,116
356,99,116
489,99,116
493,99,116
538,99,116
648,99,116
702,99,116
723,99,116
803,99,116
934,99,116
954,99,116
967,99,116
187,268,116
187,274,116
187,353,116
187,356,116
187,489,116
187,493,116
187,538,116
187,648,116
187,702,116
187,723,116
187,803,116
187,934,116
187,954,116
187,967,116
268,274,116
268,353,116
268,356,116
268,489,116
268,493,116
268,538,116
268,648,116
268,702,116
268,723,116
268,803,116
268,934,116
268,954,116
268,967,116
274,353,116
274,356,116
274,489,116
274,493,116
274,538,116
274,648,116
274,702,116
274,723,116
274,803,116
274,934,116
274,954,116
274,967,116
353,356,116
353,489,116
353,493,116
353,538,116
353,648,116
353,702,116
353,723,116
353,803,116
353,934,116
353,954,116
353,967,116
356,489,116
356,493,116
356,538,116
356,648,116
356,702,116
356,723,116
356,803,116
356,934,116
356,954,116
356,967,116
489,493,116
489,538,116
489,648,116
489,702,116
489,723,116
489,803,116
489,934,116
489,954,116
489,967,116
493,538,116
493,648,116
493,702,116
493,723,116
493,803,116
493,934,116
493,954,116
493,967,116
538,648,116
538,702,116
538,723,116
538,803,116
538,934,116
538,954,116
538,967,116
648,702,116
648,723,116
648,803,116
648,934,116
648,954,116
648,967,116
702,723,116
702,803,116
702,934,116
702,954,116
702,967,116
723,803,116
723,934,116
723,954,116
723,967,116
803,934,116
803,954,116
803,967,116
934,954,116
934,967,116
954,967,116
331,99,118
444,99,118
523,99,118
534,99,118
706,99,118
740,99,118
756,99,118
779,99,118
851,99,118
864,99,118
898,99,118
911,99,118
331,444,118
331,523,118
331,534,118
331,706,118
331,740,118
331,756,118
331,779,118
331,851,118
331,864,118
331,898,118
331,911,118
444,523,118
444,534,118
444,706,118
444,740,118
444,756,118
444,779,118
444,851,118
444,864,118
444,898,118
444,911,118
523,534,118
523,706,118
523,740,118
523,756,118
523,779,118
523,851,118
523,864,118
523,898,118
523,911,118
534,706,118
534,740,118
534,756,118
534,779,118
534,851,118
534,864,118
534,898,118
534,911,118
706,740,118
706,756,118
706,779,118
706,851,118
706,864,118
706,898,118
706,911,118
740,756,118
740,779,118
740,851,118
740,864,118
740,898,118
740,911,118
756,779,118
756,851,118
756,864,118
756,898,118
756,911,118
779,851,118
779,864,118
779,898,118
779,911,118
851,864,118
851,898,118
851,911,118
864,898,118
864,911,118
898,911,118
187,264,119
187,418,119
187,609,119
187,696,119
187,969,119
264,418,119
264,609,119
264,696,119
264,969,119
418,609,119
418,696,119
418,969,119
609,696,119
609,969,119
696,969,119
1,131,121
1,254,121
1,323,121
1,356,121
1,675,121
1,683,121
1,689,121
1,736,121
1,836,121
131,254,121
131,323,121
131,356,121
131,675,121
131,683,121
131,689,121
131,736,121
131,836,121
254,323,121
254,356,121
254,675,121
254,683,121
254,689,121
254,736,121
254,836,121
323,356,121
323,675,121
323,683,121
323,689,121
323,736,121
323,836,121
356,675,121
356,683,121
356,689,121
356,736,121
356,836,121
675,683,121
675,689,121
675,736,121
675,836,121
683,689,121
683,736,121
683,836,121
689,736,121
689,836,121
736,836,121
12,7,122
7,92,122
381,7,122
405,7,122
512,7,122
526,7,122
7,760,122
7,942,122
7,964,122
12,92,122
12,381,122
12,405,122
12,512,122
12,526,122
12,760,122
12,942,122
12,964,122
381,92,122
405,92,122
512,92,122
526,92,122
760,92,122
92,942,122
92,964,122
381,405,122
381,512,122
381,526,122
381,760,122
381,942,122
381,964,122
405,512,122
405,526,122
405,760,122
405,942,122
405,964,122
512,526,122
512,760,122
512,942,122
512,964,122
526,760,122
526,942,122
526,964,122
760,942,122
760,964,122
942,964,122
150,192,123
150,253,123
150,416,123
150,715,123
150,738,123
150,815,123
150,880,123
150,888,123
192,253,123
192,416,123
192,715,123
192,738,123
192,815,123
192,880,123
192,888,123
253,416,123
253,715,123
253,738,123
253,815,123
253,880,123
253,888,123
416,715,123
416,738,123
416,815,123
416,880,123
416,888,123
715,738,123
715,815,123
715,880,123
715,888,123
738,815,123
738,880,123
738,888,123
815,880,123
815,888,123
880,888,123
12,48,124
12,205,124
12,294,124
12,421,124
12,467,124
12,496,124
12,711,124
12,997,124
205,48,124
294,48,124
421,48,124
467,48,124
48,496,124
48,711,124
48,997,124
205,294,124
205,421,124
205,467,124
205,496,124
205,711,124
205,997,124
294,421,124
294,467,124
294,496,124
294,711,124
294,997,124
421,467,124
421,496,124
421,711,124
421,997,124
467,496,124
467,711,124
467,997,124
496,711,124
496,997,124
711,997,124
138,43,125
420,43,125
43,477,125
43,533,125
43,991,125
138,420,125
138,477,125
138,533,125
138,991,125
420,477,125
420,533,125
420,991,125
477,533,125
477,991,125
533,991,125
42,93,126
375,42,126
389,42,126
42,549,126
42,602,126
42,603,126
42,697,126
375,93,126
389,93,126
549,93,126
602,93,126
603,93,126
697,93,126
375,389,126
375,549,126
375,602,126
375,603,126
375,697,126
389,549,126
389,602,126
389,603,126
389,697,126
549,602,126
549,603,126
549,697,126
602,603,126
602,697,126
603,697,126
109,23,128
131,23,128
23,281,128
23,732,128
23,805,128
23,995,128
109,131,128
109,281,128
109,732,128
109,805,128
109,995,128
131,281,128
131,732,128
131,805,128
131,995,128
281,732,128
281,805,128
281,995,128
732,805,128
732,995,128
805,995,128
196,301,130
196,440,130
196,587,130
196,637,130
196,686,130
196,745,130
301,440,130
301,587,130
301,637,130
301,686,130
301,745,130
440,587,130
440,637,130
440,686,130
440,745,130
587,637,130
587,686,130
587,745,130
637,686,130
637,745,130
686,745,130
256,260,137
256,270,137
256,307,137
256,350,137
256,475,137
256,482,137
256,488,137
256,511,137
256,542,137
256,644,137
256,688,137
256,695,137
256,903,137
256,961,137
256,986,137
260,270,137
260,307,137
260,350,137
260,475,137
260,482,137
260,488,137
260,511,137
260,542,137
260,644,137
260,688,137
260,695,137
260,903,137
260,961,137
260,986,137
270,307,137
270,350,137
270,475,137
270,482,137
270,488,137
270,511,137
270,542,137
270,644,137
270,688,137
270,695,137
270,903,137
270,961,137
270,986,137
307,350,137
307,475,137
307,482,137
307,488,137
307,511,137
307,542,137
307,644,137
307,688,137
307,695,137
307,903,137
307,961,137
307,986,137
350,475,137
350,482,137
350,488,137
350,511,137
350,542,137
350,644,137
350,688,137
350,695,137
350,903,137
350,961,137
350,986,137
475,482,137
475,488,137
475,511,137
475,542,137
475,644,137
475,688,137
475,695,137
475,903,137
475,961,137
475,986,137
482,488,137
482,511,137
482,542,137
482,644,137
482,688,137
482,695,137
482,903,137
482,961,137
482,986,137
488,511,137
488,542,137
488,644,137
488,688,137
488,695,137
488,903,137
488,961,137
488,986,137
511,542,137
511,644,137
511,688,137
511,695,137
511,903,137
511,961,137
511,986,137
542,644,137
542,688,137
542,695,137
542,903,137
542,961,137
542,986,137
644,688,137
644,695,137
644,903,137
644,961,137
644,986,137
688,695,137
688,903,137
688,961,137
688,986,137
695,903,137
695,961,137
695,986,137
903,961,137
903,986,137
961,986,137
109,97,138
125,97,138
402,97,138
438,97,138
440,97,138
530,97,138
550,97,138
780,97,138
787,97,138
799,97,138
830,97,138
97,992,138
109,125,138
109,402,138
109,438,138
109,440,138
109,530,138
109,550,138
109,780,138
109,787,138
109,799,138
109,830,138
109,992,138
125,402,138
125,438,138
125,440,138
125,530,138
125,550,138
125,780,138
125,787,138
125,799,138
125,830,138
125,992,138
402,438,138
402,440,138
402,530,138
402,550,138
402,780,138
402,787,138
402,799,138
402,830,138
402,992,138
438,440,138
438,530,138
438,550,138
438,780,138
438,787,138
438,799,138
438,830,138
438,992,138
440,530,138
440,550,138
440,780,138
440,787,138
440,799,138
440,830,138
440,992,138
530,550,138
530,780,138
530,787,138
530,799,138
530,830,138
530,992,138
550,780,138
550,787,138
550,799,138
550,830,138
550,992,138
780,787,138
780,799,138
780,830,138
780,992,138
787,799,138
787,830,138
787,992,138
799,830,138
799,992,138
830,992,138
190,69,14
270,69,14
351,69,14
565,69,14
69,725,14
69,913,14
190,270,14
190,351,14
190,565,14
190,725,14
190,913,14
270,351,14
270,565,14
270,725,14
270,913,14
351,565,14
351,725,14
351,913,14
565,725,14
565,913,14
725,913,14
111,39,140
149,39,140
167,39,140
205,39,140
231,39,140
39,391,140
39,392,140
39,422,140
39,428,140
39,587,140
39,643,140
39,672,140
39,724,140
39,785,140
39,789,140
111,149,140
111,167,140
111,205,140
111,231,140
111,391,140
111,392,140
111,422,140
111,428,140
111,587,140
111,643,140
111,672,140
111,724,140
111,785,140
111,789,140
149,167,140
149,205,140
149,231,140
149,391,140
149,392,140
149,422,140
149,428,140
149,587,140
149,643,140
149,672,140
149,724,140
149,785,140
149,789,140
167,205,140
167,231,140
167,391,140
167,392,140
167,422,140
167,428,140
167,587,140
167,643,140
167,672,140
167,724,140
167,785,140
167,789,140
205,231,140
205,391,140
205,392,140
205,422,140
205,428,140
205,587,140
205,643,140
205,672,140
205,724,140
205,785,140
205,789,140
231,391,140
231,392,140
231,422,140
231,428,140
231,587,140
231,643,140
231,672,140
231,724,140
231,785,140
231,789,140
391,392,140
391,422,140
391,428,140
391,587,140
391,643,140
391,672,140
391,724,140
391,785,140
391,789,140
392,422,140
392,428,140
392,587,140
392,643,140
392,672,140
392,724,140
392,785,140
392,789,140
422,428,140
422,587,140
422,643,140
422,672,140
422,724,140
422,785,140
422,789,140
428,587,140
428,643,140
428,672,140
428,724,140
428,785,140
428,789,140
587,643,140
587,672,140
587,724,140
587,785,140
587,789,140
643,672,140
643,724,140
643,785,140
643,789,140
672,724,140
672,785,140
672,789,140
724,785,140
724,789,140
785,789,140
154,224,141
154,271,141
154,422,141
154,594,141
154,610,141
154,722,141
154,753,141
154,872,141
154,883,141
154,893,141
224,271,141
224,422,141
224,594,141
224,610,141
224,722,141
224,753,141
224,872,141
224,883,141
224,893,141
271,422,141
271,594,141
271,610,141
271,722,141
271,753,141
271,872,141
271,883,141
271,893,141
422,594,141
422,610,141
422,722,141
422,753,141
422,872,141
422,883,141
422,893,141
594,610,141
594,722,141
594,753,141
594,872,141
594,883,141
594,893,141
610,722,141
610,753,141
610,872,141
610,883,141
610,893,141
722,753,141
722,872,141
722,883,141
722,893,141
753,872,141
753,883,141
753,893,141
872,883,141
872,893,141
883,893,141
189,46,143
191,46,143
335,46,143
432,46,143
46,515,143
46,526,143
46,697,143
46,737,143
46,770,143
46,809,143
46,810,143
46,812,143
46,841,143
46,912,143
189,191,143
189,335,143
189,432,143
189,515,143
189,526,143
189,697,143
189,737,143
189,770,143
189,809,143
189,810,143
189,812,143
189,841,143
189,912,143
191,335,143
191,432,143
191,515,143
191,526,143
191,697,143
191,737,143
191,770,143
191,809,143
191,810,143
191,812,143
191,841,143
191,912,143
335,432,143
335,515,143
335,526,143
335,697,143
335,737,143
335,770,143
335,809,143
335,810,143
335,812,143
335,841,143
335,912,143
432,515,143
432,526,143
432,697,143
432,737,143
432,770,143
432,809,143
432,810,143
432,812,143
432,841,143
432,912,143
515,526,143
515,697,143
515,737,143
515,770,143
515,809,143
515,810,143
515,812,143
515,841,143
515,912,143
526,697,143
526,737,143
526,770,143
526,809,143
526,810,143
526,812,143
526,841,143
526,912,143
697,737,143
697,770,143
697,809,143
697,810,143
697,812,143
697,841,143
697,912,143
737,770,143
737,809,143
737,810,143
737,812,143
737,841,143
737,912,143
770,809,143
770,810,143
770,812,143
770,841,143
770,912,143
809,810,143
809,812,143
809,841,143
809,912,143
810,812,143
810,841,143
810,912,143
812,841,143
812,912,143
841,912,143
356,474,145
356,524,145
356,577,145
356,591,145
356,758,145
356,792,145
356,846,145
356,995,145
474,524,145
474,577,145
474,591,145
474,758,145
474,792,145
474,846,145
474,995,145
524,577,145
524,591,145
524,758,145
524,792,145
524,846,145
524,995,145
577,591,145
577,758,145
577,792,145
577,846,145
577,995,145
591,758,145
591,792,145
591,846,145
591,995,145
758,792,145
758,846,145
758,995,145
792,846,145
792,995,145
846,995,145
203,305,147
203,320,147
203,419,147
203,601,147
203,633,147
203,735,147
203,825,147
305,320,147
305,419,147
305,601,147
305,633,147
305,735,147
305,825,147
320,419,147
320,601,147
320,633,147
320,735,147
320,825,147
419,601,147
419,633,147
419,735,147
419,825,147
601,633,147
601,735,147
601,825,147
633,735,147
633,825,147
735,825,147
56,67,151
135,56,151
241,56,151
335,56,151
389,56,151
56,565,151
56,580,151
56,600,151
56,642,151
56,671,151
56,807,151
56,948,151
135,67,151
241,67,151
335,67,151
389,67,151
565,67,151
580,67,151
600,67,151
642,67,151
67,671,151
67,807,151
67,948,151
135,241,151
135,335,151
135,389,151
135,565,151
135,580,151
135,600,151
135,642,151
135,671,151
135,807,151
135,948,151
241,335,151
241,389,151
241,565,151
241,580,151
241,600,151
241,642,151
241,671,151
241,807,151
241,948,151
335,389,151
335,565,151
335,580,151
335,600,151
335,642,151
335,671,151
335,807,151
335,948,151
389,565,151
389,580,151
389,600,151
389,642,151
389,671,151
389,807,151
389,948,151
565,580,151
565,600,151
565,642,151
565,671,151
565,807,151
565,948,151
580,600,151
580,642,151
580,671,151
580,807,151
580,948,151
600,642,151
600,671,151
600,807,151
600,948,151
642,671,151
642,807,151
642,948,151
671,807,151
671,948,151
807,948,151
166,168,153
166,183,153
166,191,153
166,334,153
166,341,153
166,424,153
166,484,153
166,529,153
166,561,153
166,620,153
168,183,153
168,191,153
168,334,153
168,341,153
168,424,153
168,484,153
168,529,153
168,561,153
168,620,153
183,191,153
183,334,153
183,341,153
183,424,153
183,484,153
183,529,153
183,561,153
183,620,153
191,334,153
191,341,153
191,424,153
191,484,153
191,529,153
191,561,153
191,620,153
334,341,153
334,424,153
334,484,153
334,529,153
334,561,153
334,620,153
341,424,153
341,484,153
341,529,153
341,561,153
341,620,153
424,484,153
424,529,153
424,561,153
424,620,153
484,529,153
484,561,153
484,620,153
529,561,153
529,620,153
561,620,153
63,92,154
141,63,154
251,63,154
353,63,154
450,63,154
513,63,154
63,724,154
63,874,154
141,92,154
251,92,154
353,92,154
450,92,154
513,92,154
724,92,154
874,92,154
141,251,154
141,353,154
141,450,154
141,513,154
141,724,154
141,874,154
251,353,154
251,450,154
251,513,154
251,724,154
251,874,154
353,450,154
353,513,154
353,724,154
353,874,154
450,513,154
450,724,154
450,874,154
513,724,154
513,874,154
724,874,154
112,203,156
112,210,156
112,226,156
112,244,156
112,302,156
112,436,156
112,445,156
112,489,156
112,530,156
112,598,156
112,630,156
112,703,156
112,710,156
112,778,156
203,210,156
203,226,156
203,244,156
203,302,156
203,436,156
203,445,156
203,489,156
203,530,156
203,598,156
203,630,156
203,703,156
203,710,156
203,778,156
210,226,156
210,244,156
210,302,156
210,436,156
210,445,156
210,489,156
210,530,156
210,598,156
210,630,156
210,703,156
210,710,156
210,778,156
226,244,156
226,302,156
226,436,156
226,445,156
226,489,156
226,530,156
226,598,156
226,630,156
226,703,156
226,710,156
226,778,156
244,302,156
244,436,156
244,445,156
244,489,156
244,530,156
244,598,156
244,630,156
244,703,156
244,710,156
244,778,156
302,436,156
302,445,156
302,489,156
302,530,156
302,598,156
302,630,156
302,703,156
302,710,156
302,778,156
436,445,156
436,489,156
436,530,156
436,598,156
436,630,156
436,703,156
436,710,156
436,778,156
445,489,156
445,530,156
445,598,156
445,630,156
445,703,156
445,710,156
445,778,156
489,530,156
489,598,156
489,630,156
489,703,156
489,710,156
489,778,156
530,598,156
530,630,156
530,703,156
530,710,156
530,778,156
598,630,156
598,703,156
598,710,156
598,778,156
630,703,156
630,710,156
630,778,156
703,710,156
703,778,156
710,778,156
166,24,157
24,389,157
24,502,157
24,512,157
24,564,157
24,594,157
24,619,157
24,649,157
24,718,157
24,732,157
24,852,157
24,950,157
166,389,157
166,502,157
166,512,157
166,564,157
166,594,157
166,619,157
166,649,157
166,718,157
166,732,157
166,852,157
166,950,157
389,502,157
389,512,157
389,564,157
389,594,157
389,619,157
389,649,157
389,718,157
389,732,157
389,852,157
389,950,157
502,512,157
502,564,157
502,594,157
502,619,157
502,649,157
502,718,157
502,732,157
502,852,157
502,950,157
512,564,157
512,594,157
512,619,157
512,649,157
512,718,157
512,732,157
512,852,157
512,950,157
564,594,157
564,619,157
564,649,157
564,718,157
564,732,157
564,852,157
564,950,157
594,619,157
594,649,157
594,718,157
594,732,157
594,852,157
594,950,157
619,649,157
619,718,157
619,732,157
619,852,157
619,950,157
649,718,157
649,732,157
649,852,157
649,950,157
718,732,157
718,852,157
718,950,157
732,852,157
